,loss,binary_accuracy
0,0.40064501762390137,0.8244010210037231
1,0.3885878324508667,0.8320052027702332
2,0.38467541337013245,0.8309375047683716
3,0.38278207182884216,0.8331249952316284
4,0.38177409768104553,0.8384114503860474
5,0.3818954527378082,0.8405989408493042
6,0.3815278708934784,0.8416926860809326
7,0.3815617263317108,0.842369794845581
8,0.38150766491889954,0.8423437476158142
9,0.38007834553718567,0.8428385257720947
10,0.38187554478645325,0.8375520706176758
11,0.38150250911712646,0.842786431312561
12,0.3819026052951813,0.8428385257720947
13,0.3803372383117676,0.8428385257720947
14,0.38081273436546326,0.8428385257720947
15,0.38115981221199036,0.8428385257720947
16,0.38157451152801514,0.8428385257720947
17,0.3809884488582611,0.8428385257720947
18,0.3807741701602936,0.8428385257720947
19,0.38078856468200684,0.8428385257720947
20,0.38025298714637756,0.8380468487739563
21,0.38015010952949524,0.8428385257720947
22,0.380014032125473,0.8428385257720947
23,0.37959226965904236,0.8428385257720947
24,0.38053086400032043,0.8428385257720947
25,0.3789255917072296,0.8428385257720947
26,0.3799269199371338,0.8428385257720947
27,0.37967216968536377,0.8428385257720947
28,0.38030943274497986,0.8428385257720947
29,0.3797294795513153,0.8428385257720947
30,0.3799305260181427,0.8428385257720947
31,0.37929439544677734,0.8428385257720947
32,0.3799270689487457,0.8428385257720947
33,0.37989941239356995,0.8428385257720947
34,0.37946251034736633,0.8428385257720947
35,0.37889614701271057,0.8428385257720947
36,0.37975993752479553,0.8428385257720947
37,0.37990614771842957,0.8428385257720947
38,0.3796183168888092,0.8428385257720947
39,0.3792268931865692,0.8428385257720947
40,0.3795839846134186,0.8428385257720947
41,0.37888965010643005,0.8428385257720947
42,0.3784463107585907,0.8428385257720947
43,0.3791467845439911,0.8428385257720947
44,0.37903711199760437,0.8428385257720947
45,0.3793984651565552,0.8428385257720947
46,0.379376083612442,0.8428385257720947
47,0.3783319294452667,0.8428385257720947
48,0.37886202335357666,0.8428385257720947
49,0.37901997566223145,0.8428385257720947
50,0.37893402576446533,0.8428385257720947
51,0.37875989079475403,0.8428385257720947
52,0.3783266246318817,0.8428385257720947
53,0.3789246082305908,0.8428385257720947
54,0.3790336847305298,0.8428385257720947
55,0.37823402881622314,0.8428385257720947
56,0.37869593501091003,0.8428385257720947
57,0.37878498435020447,0.8428385257720947
58,0.378679484128952,0.8428385257720947
59,0.3785255253314972,0.8428385257720947
60,0.3786179721355438,0.8428385257720947
61,0.37805959582328796,0.8428385257720947
62,0.37835511565208435,0.8428385257720947
63,0.3777928054332733,0.8428385257720947
64,0.3782843351364136,0.8428385257720947
65,0.3783186972141266,0.8428385257720947
66,0.37840425968170166,0.8428385257720947
67,0.3782987892627716,0.8428385257720947
68,0.3780405819416046,0.8428385257720947
69,0.37831342220306396,0.8428385257720947
70,0.3783816397190094,0.8428385257720947
71,0.37806904315948486,0.8428385257720947
72,0.37780842185020447,0.8428385257720947
73,0.37763407826423645,0.8428385257720947
74,0.3780934512615204,0.8428385257720947
75,0.37740203738212585,0.8428385257720947
76,0.3776451647281647,0.8428385257720947
77,0.3771941363811493,0.8428385257720947
78,0.37785637378692627,0.8428385257720947
79,0.3776349127292633,0.8428385257720947
80,0.37736546993255615,0.8428385257720947
81,0.37731167674064636,0.8428385257720947
82,0.3774937093257904,0.8428385257720947
83,0.37719833850860596,0.8428385257720947
84,0.3774324357509613,0.8428385257720947
85,0.37730422616004944,0.8428385257720947
86,0.3769358694553375,0.8428385257720947
87,0.3774677813053131,0.8428385257720947
88,0.3773726522922516,0.8428385257720947
89,0.3768872916698456,0.8428385257720947
90,0.3769046366214752,0.8428385257720947
91,0.3767017126083374,0.8428385257720947
92,0.37706518173217773,0.8428385257720947
93,0.37667444348335266,0.8428385257720947
94,0.37687423825263977,0.8428385257720947
95,0.37707868218421936,0.8428385257720947
96,0.37681928277015686,0.8428385257720947
97,0.3766319751739502,0.8428385257720947
98,0.3767894208431244,0.8428385257720947
99,0.3764704763889313,0.8428385257720947
100,0.37681150436401367,0.8428385257720947
101,0.3766223192214966,0.8428385257720947
102,0.3763352334499359,0.8428385257720947
103,0.37618789076805115,0.8428385257720947
104,0.37665966153144836,0.8428385257720947
105,0.3763250410556793,0.8428385257720947
106,0.37651559710502625,0.8428385257720947
107,0.376580148935318,0.8428385257720947
108,0.3762979507446289,0.8428385257720947
109,0.3761698305606842,0.8428385257720947
110,0.37598440051078796,0.8428385257720947
111,0.37560832500457764,0.8428385257720947
112,0.3757493793964386,0.8428385257720947
113,0.3756544589996338,0.8428385257720947
114,0.3761874735355377,0.8428385257720947
115,0.37604406476020813,0.8428385257720947
116,0.3755349814891815,0.8428385257720947
117,0.3757716715335846,0.8428385257720947
118,0.375720739364624,0.8428385257720947
119,0.375932902097702,0.8428385257720947
120,0.3756067752838135,0.8428385257720947
121,0.37561169266700745,0.8428385257720947
122,0.3754979372024536,0.8428385257720947
123,0.37567010521888733,0.8428385257720947
124,0.37523624300956726,0.8428385257720947
125,0.37517449259757996,0.8428385257720947
126,0.37506768107414246,0.8428385257720947
127,0.37518277764320374,0.8428385257720947
128,0.3751371204853058,0.8428385257720947
129,0.37489643692970276,0.8428385257720947
130,0.3750462532043457,0.8428385257720947
131,0.3743882477283478,0.8428385257720947
132,0.37501776218414307,0.8428385257720947
133,0.3748234808444977,0.8428385257720947
134,0.3751028776168823,0.8428385257720947
135,0.37481454014778137,0.8428385257720947
136,0.3745569884777069,0.8428385257720947
137,0.3744077682495117,0.8428385257720947
138,0.374483197927475,0.8428385257720947
139,0.3744182586669922,0.8428385257720947
140,0.37457987666130066,0.8428385257720947
141,0.374523788690567,0.8428385257720947
142,0.3742509186267853,0.8428385257720947
143,0.3743363916873932,0.8428385257720947
144,0.37416085600852966,0.8428385257720947
145,0.3739205300807953,0.8428385257720947
146,0.3740657567977905,0.8428385257720947
147,0.3741355240345001,0.8428385257720947
148,0.37423232197761536,0.8428385257720947
